koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens
1.0,4.601811819,2.2607,755.9,0.567,60.8,0.02579,2.35,5122.0,4.555,0.14,0.8405,0.811,2.135
1.0,11.18719905,3.252,353.6,0.387,21.9,0.017042,1.55,5122.0,4.555,0.14,0.8405,0.811,2.135
1.0,4.220965778,3.0854,2260.0,0.705,157.8,0.046401,2.62,3861.0,4.746,-0.06,0.547,0.52,5.521000000000001
0.0,6.998099523,2.0488,20285.0,7.361,192.3,6.502574,588.66,5613.0,4.566,-0.14,0.9171,0.827,2.278
1.0,5.95489993,2.3892,1410.7,0.327,87.2,0.033728,2.33,4261.0,4.641,-0.06,0.64,0.633,3.551
1.0,12.03987488,2.7363,1250.6,0.286,57.6,0.031605,2.18,4261.0,4.641,-0.06,0.64,0.633,3.551
1.0,20.83762895,2.3734,439.0,0.706,14.9,0.020532,1.42,4261.0,4.641,-0.06,0.64,0.633,3.551
0.0,8.8111022,5.0683,401.1,1.223,76.8,0.242511,63.66,6200.0,3.8,-0.12,1.333,2.404,0.1351
1.0,23.58917143,5.073,1200.7,0.926,53.3,0.040151,3.16,4919.0,4.566,-0.24,0.697,0.721,2.622
1.0,6.481633073,3.784,298.5,0.833,125.6,0.017836,2.54,5952.0,4.213,-0.08,1.024,1.302,0.64225
1.0,10.37168928,3.035,1254.9,0.537,64.5,0.033023,3.2,5165.0,4.598,-0.12,0.828,0.751,2.3565
1.0,3.96996298,1.1757,299.2,0.836,15.0,0.018305,1.78,5165.0,4.598,-0.12,0.828,0.751,2.3565
1.0,4.40841331,5.012,549.4,0.899,45.1,0.025379,2.66,6007.0,4.457,-0.24,0.968,0.961,1.534
0.0,7.9426176,6.703,1590.7,0.942,60.4,0.046289,4.68,5811.0,4.521,0.07,1.036,0.926,1.839
1.0,226.8904775,7.558,3136.4,0.731,46.8,0.055361,4.53,5067.0,4.585,-0.08,0.787,0.75,2.633
0.0,1.956811408,2.1958,24905.0,1.091,125.4,0.327759,21.58,5209.0,4.657,-1.24,0.602,0.603,3.857
1.0,9.439459486,2.8979,3036.1,0.049,175.2,0.048953,4.16,5094.0,4.597,0.21,0.88765,0.779,2.5875
1.0,11.523067458,3.8757,507.3,0.0,142.0,0.020288,3.13,5699.0,4.171,0.3,1.0685,1.411,0.53415
1.0,20.47748843,2.8364,1382.4,0.497,52.7,0.034376,2.92,5094.0,4.597,0.21,0.88765,0.779,2.5875
1.0,3.336123113,1.9616,516.3,0.252,41.6,0.020396,1.74,5094.0,4.597,0.21,0.88765,0.779,2.5875
1.0,8.01078456,2.312,1333.6,0.192,48.5,0.03347,1.72,3726.0,4.779,-0.12,0.487,0.47,6.567
1.0,12.07134205,4.3224,759.2,0.014,31.0,0.025158,1.29,3726.0,4.779,-0.12,0.487,0.47,6.567
