kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_num_transits,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens,teff_err1,teff_err2,logg_err1,logg_err2,feh_err1,feh_err2,mass_err1,mass_err2,radius_err1,radius_err2
2445129,FALSE POSITIVE,10.31872301,3.836,871.7,1.215,38.2,130.0,0.247006,28.59,5927.0,4.409,0.07,1.05,1.06,1.243,166.0,-193.0,0.084,-0.224,0.19,-0.29,0.1745,-0.1256499999999999,0.425,-0.137
2713049,CONFIRMED,2.539183147,2.4282,382.1,0.238,38.9,528.0,0.017724,2.06,5980.0,4.489,-0.1,0.974,0.956,1.379,130.0,-130.0,0.126,-0.224,0.15,-0.15,0.1145,-0.0835,0.402,-0.14
3114167,CONFIRMED,6.770300385,2.0844,1304.0,0.838,50.8,200.0,0.037414,2.77,5666.0,4.656,-0.84,0.76605,0.679,3.4560000000000004,166.0,-163.0,0.028,-0.149,0.3,-0.28,0.06635,-0.0696,0.151,-0.037
3114661,FALSE POSITIVE,0.444291966,2.0792,10967.4,1.258,299.7,1466.0,0.396105,27.51,5255.0,4.674,-0.72,0.7015,0.636,3.849,156.0,-140.0,0.028,-0.095,0.3,-0.3,0.0663499999999999,-0.05705,0.098,-0.04
3115833,CANDIDATE,10.181584004,3.5089,5741.1,0.92,183.6,129.0,0.084708,7.73,5995.0,4.529,-0.52,0.8845000000000001,0.847,2.09,173.0,-178.0,0.048,-0.22,0.3,-0.28,0.1045,-0.0926,0.367,-0.078
4139816,CONFIRMED,20.06036336,3.3203,1494.7,0.556,35.2,59.0,0.036455,1.96,3950.0,4.754,-0.46,0.504,0.493,5.9255,79.0,-86.0,0.042,-0.031,0.12,-0.12,0.0315,-0.038,0.033,-0.04
4139816,CONFIRMED,46.1842039,4.758,1394.7,0.013,26.0,25.0,0.033974,1.83,3950.0,4.754,-0.46,0.504,0.493,5.9255,79.0,-86.0,0.042,-0.031,0.12,-0.12,0.0315,-0.038,0.033,-0.04
8395660,CONFIRMED,23.9800854,5.351,104.0,0.95,17.1,56.0,0.011879,1.31,5854.0,4.406,-0.12,0.951,1.012,1.294,106.0,-117.0,0.09,-0.142,0.15,-0.14,0.07,-0.06335,0.186,-0.103
4139816,CONFIRMED,7.82502168,2.186,520.8,0.708,15.9,154.0,0.022312,1.2,3950.0,4.754,-0.46,0.504,0.493,5.9255,79.0,-86.0,0.042,-0.031,0.12,-0.12,0.0315,-0.038,0.033,-0.04
4275191,CONFIRMED,3.895936525,2.3111,8544.8,0.524,370.8,275.0,0.08689,7.34,5557.0,4.58,-0.3,0.85555,0.781,2.5675,167.0,-147.0,0.034,-0.188,0.3,-0.26,0.0914,-0.092,0.278,-0.069
4476123,CONFIRMED,22.36646466,5.228,986.8,0.4,32.1,48.0,0.028938,2.32,5413.0,4.604,-0.32,0.8140000000000001,0.751,2.8085,160.0,-157.0,0.034,-0.131,0.3,-0.28,0.087,-0.089,0.168,-0.06
3351888,CONFIRMED,1.625522174,2.38963,7969.0,0.076,799.7,657.0,0.080543,9.73,5611.0,4.39,0.18,0.9974,1.057,1.0893000000000002,125.0,-125.0,0.126,-0.265,0.15,-0.15,0.1114,-0.0764,0.421,-0.158
